HTime,HThrottle,HBrake,HDRS,HRPM,HSpeed,HnGear,HLapPercentage
2021-09-05 00:00:00 +0000 UTC,100,0,12,11047,307,8,1.5028830178181237e-05
2021-09-05 00:00:00.007 +0000 UTC,100,0,12,11045,308,8,0.0001563339972129494
2021-09-05 00:00:00.055 +0000 UTC,100,0,12,11075,308,8,0.001125670202799462
2021-09-05 00:00:00.247 +0000 UTC,100,0,12,11105,309,8,0.005009297259377998
2021-09-05 00:00:00.275 +0000 UTC,100,0,12,11105,309,8,0.005576499383697621
2021-09-05 00:00:00.487 +0000 UTC,100,0,12,11106,310,8,0.0098779659042685
2021-09-05 00:00:00.495 +0000 UTC,100,0,12,11117,310,8,0.01004052527224453
2021-09-05 00:00:00.715 +0000 UTC,100,0,12,11128,310,8,0.014517747696688978
2021-09-05 00:00:00.727 +0000 UTC,100,0,12,11139,311,8,0.014762339931884456
2021-09-05 00:00:00.935 +0000 UTC,100,0,12,11166,311,8,0.019008175204771643
2021-09-05 00:00:00.967 +0000 UTC,100,0,12,11194,312,8,0.019662419342225863
2021-09-05 00:00:01.155 +0000 UTC,100,0,12,11207,312,8,0.023511726316546296
2021-09-05 00:00:01.207 +0000 UTC,100,0,12,11220,313,8,0.024578204135292724
2021-09-05 00:00:01.375 +0000 UTC,100,0,12,11209,313,8,0.02802929888480731
2021-09-05 00:00:01.408 +0000 UTC,100,0,12,11198,314,8,0.028708327157518785
2021-09-05 00:00:01.595 +0000 UTC,100,0,12,11225,314,8,0.032562631208440794
2021-09-05 00:00:01.648 +0000 UTC,100,0,12,11253,315,8,0.03365552271603656
2021-09-05 00:00:01.815 +0000 UTC,100,0,12,11257,315,8,0.03709813378156029
2021-09-05 00:00:01.888 +0000 UTC,100,0,12,11261,315,8,0.038602718274554325
2021-09-05 00:00:02.035 +0000 UTC,100,0,12,11278,315,8,0.04163227879695883
2021-09-05 00:00:02.128 +0000 UTC,100,0,12,11295,315,8,0.043549913833072086
2021-09-05 00:00:02.255 +0000 UTC,100,0,12,11298,315,8,0.04617084565827512
2021-09-05 00:00:02.368 +0000 UTC,100,0,12,11302,316,8,0.048512814774315315
2021-09-05 00:00:02.456 +0000 UTC,100,0,12,11306,315,8,0.050347696719900956
2021-09-05 00:00:02.608 +0000 UTC,100,0,12,11311,315,8,0.053460010332833076
2021-09-05 00:00:02.676 +0000 UTC,100,50,12,11286,303,8,0.05478131879850985
2021-09-05 00:00:02.848 +0000 UTC,100,100,8,11262,291,8,0.05803027670593997
2021-09-05 00:00:02.896 +0000 UTC,50,100,8,10702,291,8,0.05895981272356861
2021-09-05 00:00:03.088 +0000 UTC,0,100,8,10142,291,8,0.06260054307904685
2021-09-05 00:00:03.115 +0000 UTC,0,100,8,9632,259,8,0.06305572797253325
2021-09-05 00:00:03.328 +0000 UTC,0,100,8,9123,228,8,0.06618137034045019
2021-09-05 00:00:03.335 +0000 UTC,0,100,8,9068,217,8,0.06627658960383823
2021-09-05 00:00:03.555 +0000 UTC,0,100,8,9013,207,8,0.06911482607466404
2021-09-05 00:00:03.568 +0000 UTC,0,100,8,8959,197,8,0.06927533073736447
2021-09-05 00:00:03.775 +0000 UTC,0,100,8,9197,188,8,0.07173164900228807
2021-09-05 00:00:03.808 +0000 UTC,0,100,8,9436,180,6,0.07210229962794605
2021-09-05 00:00:03.995 +0000 UTC,0,100,8,9560,170,6,0.07409069711203317
2021-09-05 00:00:04.048 +0000 UTC,0,100,8,9685,161,6,0.07463086624674403
2021-09-05 00:00:04.215 +0000 UTC,0,100,8,9668,155,6,0.07628422285094297
2021-09-05 00:00:04.288 +0000 UTC,0,100,8,9652,150,4,0.07698667365556201
2021-09-05 00:00:04.435 +0000 UTC,0,100,8,9714,146,4,0.07836711225811081
2021-09-05 00:00:04.528 +0000 UTC,1,100,8,9777,142,3,0.07921683800257638
2021-09-05 00:00:04.655 +0000 UTC,5,50,8,9615,138,3,0.08034760623920387
2021-09-05 00:00:04.768 +0000 UTC,10,0,8,9454,135,3,0.08133706467051256
2021-09-05 00:00:04.875 +0000 UTC,15,0,8,9286,133,3,0.08226893798486506
2021-09-05 00:00:05.008 +0000 UTC,21,0,8,9119,132,3,0.08341017519027238
2021-09-05 00:00:05.095 +0000 UTC,30,0,8,9116,129,3,0.08413906737688984
2021-09-05 00:00:05.248 +0000 UTC,39,0,8,9113,127,3,0.08540475879640495
2021-09-05 00:00:05.315 +0000 UTC,44,0,8,9180,127,3,0.08596302105155393
2021-09-05 00:00:05.488 +0000 UTC,49,0,8,9247,128,3,0.08741504778526296
2021-09-05 00:00:05.535 +0000 UTC,53,0,8,9399,129,3,0.0878111476867333
2021-09-05 00:00:05.727 +0000 UTC,58,0,8,9551,130,3,0.08944824045726225
2021-09-05 00:00:05.755 +0000 UTC,59,0,8,9730,133,3,0.08969253723173708
2021-09-05 00:00:05.967 +0000 UTC,61,0,8,9910,136,3,0.0915841725079239
2021-09-05 00:00:05.975 +0000 UTC,61,0,8,9976,137,3,0.09165639172940354
2021-09-05 00:00:06.195 +0000 UTC,62,0,8,10042,138,3,0.09367029015567573
2021-09-05 00:00:06.207 +0000 UTC,63,0,8,10108,140,3,0.09378292608948735
2021-09-05 00:00:06.415 +0000 UTC,70,0,8,10404,144,3,0.0957898555049367
2021-09-05 00:00:06.447 +0000 UTC,77,0,8,10700,148,3,0.09610732273285441
2021-09-05 00:00:06.635 +0000 UTC,83,0,8,11048,152,3,0.09801710509846843
2021-09-05 00:00:06.687 +0000 UTC,89,0,8,11396,156,3,0.09855736243802513
2021-09-05 00:00:06.855 +0000 UTC,94,0,8,11691,160,3,0.10033907108088251
2021-09-05 00:00:06.927 +0000 UTC,100,0,8,11986,164,3,0.10113304520499945
2021-09-05 00:00:07.075 +0000 UTC,100,0,8,11651,171,3,0.10283691841789032
2021-09-05 00:00:07.167 +0000 UTC,100,0,8,11316,178,3,0.10392860333013013
2021-09-05 00:00:07.295 +0000 UTC,100,0,8,11548,182,3,0.10547434000936826
2021-09-05 00:00:07.407 +0000 UTC,100,0,8,11781,187,4,0.10686550989978988
2021-09-05 00:00:07.515 +0000 UTC,100,0,8,12026,192,4,0.10825134276139428
2021-09-05 00:00:07.647 +0000 UTC,100,0,8,12271,198,4,0.10997517567942962
2021-09-05 00:00:07.735 +0000 UTC,100,0,8,11781,199,4,0.11112161281447412
2021-09-05 00:00:07.887 +0000 UTC,100,0,8,11291,200,5,0.11311625222452028
2021-09-05 00:00:07.955 +0000 UTC,100,0,8,11290,203,5,0.11402647364831531
2021-09-05 00:00:08.088 +0000 UTC,100,0,8,11289,207,5,0.11583897663726166
2021-09-05 00:00:08.175 +0000 UTC,100,0,8,11473,211,5,0.1170466806064096
2021-09-05 00:00:08.328 +0000 UTC,100,0,8,11657,215,5,0.11921563392323412
2021-09-05 00:00:08.395 +0000 UTC,100,0,8,11852,219,5,0.12018516515326924
2021-09-05 00:00:08.568 +0000 UTC,100,0,8,12047,224,5,0.12273363965373564
2021-09-05 00:00:08.615 +0000 UTC,100,0,8,11417,226,5,0.12343272390459768
2021-09-05 00:00:08.808 +0000 UTC,100,0,8,10787,229,5,0.1263301722978644
2021-09-05 00:00:08.835 +0000 UTC,100,0,8,10844,230,5,0.1267387413480191
2021-09-05 00:00:09.036 +0000 UTC,100,0,8,10901,231,5,0.1298050614043365
2021-09-05 00:00:09.048 +0000 UTC,100,0,8,10958,233,6,0.129989526472895
2021-09-05 00:00:09.256 +0000 UTC,100,0,8,11044,235,6,0.13321184346468556
2021-09-05 00:00:09.288 +0000 UTC,100,0,8,11131,237,6,0.1337117021788274
2021-09-05 00:00:09.476 +0000 UTC,100,0,8,11222,239,6,0.1366707744532897
2021-09-05 00:00:09.528 +0000 UTC,100,0,8,11313,241,6,0.13749669941566167
2021-09-05 00:00:09.695 +0000 UTC,100,0,8,11339,243,6,0.1401709007466185
2021-09-05 00:00:09.768 +0000 UTC,100,0,8,11366,245,6,0.14134451818339772
2021-09-05 00:00:09.915 +0000 UTC,100,0,8,11437,245,6,0.14370984620528918
2021-09-05 00:00:10.008 +0000 UTC,100,0,8,11508,246,6,0.1452080423338592
2021-09-05 00:00:10.135 +0000 UTC,82,50,8,11345,245,6,0.14725639737172821
2021-09-05 00:00:10.248 +0000 UTC,64,100,8,11182,245,6,0.14905586110159524
2021-09-05 00:00:10.355 +0000 UTC,42,100,8,10971,239,6,0.15071986927254286
2021-09-05 00:00:10.488 +0000 UTC,21,100,8,10761,234,6,0.15273092065935132
2021-09-05 00:00:10.575 +0000 UTC,21,100,8,10424,227,6,0.1540097506130776
2021-09-05 00:00:10.728 +0000 UTC,22,100,8,10087,220,6,0.156186104858951
2021-09-05 00:00:10.795 +0000 UTC,22,100,8,10513,213,6,0.1571086697195493
2021-09-05 00:00:10.968 +0000 UTC,22,100,8,10939,206,6,0.15942141370039437
2021-09-05 00:00:11.015 +0000 UTC,34,50,8,10904,202,6,0.16003936600825022
2021-09-05 00:00:11.208 +0000 UTC,46,0,8,10869,199,5,0.16254678486275956
2021-09-05 00:00:11.235 +0000 UTC,52,0,8,10829,198,5,0.16289656095345595
2021-09-05 00:00:11.448 +0000 UTC,59,0,8,10789,198,5,0.1656564506423993
2021-09-05 00:00:11.455 +0000 UTC,63,0,8,10866,198,5,0.16574737197263453
2021-09-05 00:00:11.675 +0000 UTC,68,0,8,10943,198,5,0.1686123748023698
2021-09-05 00:00:11.688 +0000 UTC,73,0,8,11020,199,5,0.1687818218047645
2021-09-05 00:00:11.895 +0000 UTC,78,0,8,11053,199,5,0.17148668784406865
