VTime,VThrottle,VBrake,VDRS,VRPM,VSpeed,VnGear,VLapPercentage
2021-09-05 00:00:00,100,0,12,10974,303,8,2.4074325831062774e-05
2021-09-05 00:00:00.047,100,0,12,10989,304,8,0.0009604472958964414
2021-09-05 00:00:00.174,100,0,12,10991,304,8,0.0034935556099543576
2021-09-05 00:00:00.287,100,0,12,10993,305,8,0.005751556881532228
2021-09-05 00:00:00.394,100,0,12,11045,305,8,0.007893674083852619
2021-09-05 00:00:00.526,100,0,12,11097,306,8,0.010538346614262931
2021-09-05 00:00:00.614,100,0,12,11058,306,8,0.012300278027171476
2021-09-05 00:00:00.766,100,0,12,11020,306,8,0.015345164755917193
2021-09-05 00:00:00.834,100,0,12,11029,306,8,0.016710271300420628
2021-09-05 00:00:01.006,100,0,12,11038,307,8,0.020167691453589934
2021-09-05 00:00:01.054,100,0,12,11056,307,8,0.021132050983143996
2021-09-05 00:00:01.246,100,0,12,11075,307,8,0.024990218151262678
2021-09-05 00:00:01.274,100,0,12,11078,307,8,0.025553885202383785
2021-09-05 00:00:01.486,100,0,12,11082,308,8,0.029828453404953895
2021-09-05 00:00:01.494,100,0,12,11074,308,8,0.02998978022680947
2021-09-05 00:00:01.714,100,0,12,11066,308,8,0.034424853422424344
2021-09-05 00:00:01.726,100,0,12,11058,308,8,0.03466668865864512
2021-09-05 00:00:01.934,100,0,12,11059,308,8,0.03885895388569028
2021-09-05 00:00:01.966,100,0,12,11061,308,8,0.03950492391233634
2021-09-05 00:00:02.154,100,0,12,11065,308,8,0.043306927933203634
2021-09-05 00:00:02.206,100,0,12,11069,309,8,0.04435886772204604
2021-09-05 00:00:02.374,100,0,12,11103,309,8,0.04775587260356226
2021-09-05 00:00:02.446,100,0,12,11138,309,8,0.04921281153175574
2021-09-05 00:00:02.594,100,0,12,11111,309,8,0.05221111213605369
2021-09-05 00:00:02.686,100,0,12,11084,309,8,0.05406675534146544
2021-09-05 00:00:02.814,100,50,12,11082,304,8,0.056628566465773904
2021-09-05 00:00:02.966,100,100,12,11081,300,8,0.05956474994793273
2021-09-05 00:00:03.034,50,100,12,10578,284,8,0.060810091168782915
2021-09-05 00:00:03.207,0,100,8,10076,269,8,0.06380795819010736
2021-09-05 00:00:03.254,0,100,8,10005,256,8,0.06458854164152245
2021-09-05 00:00:03.447,0,100,8,9935,243,8,0.0676251373025975
2021-09-05 00:00:03.474,0,100,8,10293,227,8,0.06802322584430372
2021-09-05 00:00:03.687,0,100,8,10651,212,8,0.07095535117851484
2021-09-05 00:00:03.694,0,100,8,10668,205,8,0.07104721701444125
2021-09-05 00:00:03.914,0,100,8,10686,198,8,0.07381439502352506
2021-09-05 00:00:03.927,0,100,8,10704,192,7,0.07397139393406262
2021-09-05 00:00:04.134,0,100,8,10248,184,7,0.07637331597859243
2021-09-05 00:00:04.167,0,100,8,9793,176,5,0.07673609979331475
2021-09-05 00:00:04.335,0,100,8,10353,166,5,0.07849139152331462
2021-09-05 00:00:04.407,0,100,8,10913,157,4,0.07920234308821579
2021-09-05 00:00:04.555,1,100,8,10529,149,4,0.08059375042161293
2021-09-05 00:00:04.647,3,100,8,10146,142,3,0.08143295804283966
2021-09-05 00:00:04.775,3,100,8,10025,139,3,0.08258736944454999
2021-09-05 00:00:04.887,3,100,8,9904,136,3,0.08356932166135267
2021-09-05 00:00:04.994,9,50,8,9537,131,3,0.08447085392464501
2021-09-05 00:00:05.127,15,0,8,9170,127,3,0.08556430827569939
2021-09-05 00:00:05.214,32,0,8,9409,126,3,0.08627967119594662
2021-09-05 00:00:05.367,49,0,8,9648,126,3,0.0875435863340276
2021-09-05 00:00:05.434,50,0,8,9764,127,3,0.08810255824448548
2021-09-05 00:00:05.607,52,0,8,9881,129,3,0.08956999006041128
2021-09-05 00:00:05.654,62,0,8,10090,132,3,0.08997804283261579
2021-09-05 00:00:05.847,73,0,8,10300,135,3,0.0916906451229058
2021-09-05 00:00:05.874,75,0,8,10520,137,3,0.09193334027272589
2021-09-05 00:00:06.087,78,0,8,10741,140,3,0.09388984296549271
2021-09-05 00:00:06.094,85,0,8,10856,143,3,0.09395644307339579
2021-09-05 00:00:06.314,92,0,8,10971,147,3,0.09612948725204087
2021-09-05 00:00:06.327,100,0,8,11087,151,3,0.09626183492428289
2021-09-05 00:00:06.534,100,0,8,10585,155,3,0.09842178444974126
2021-09-05 00:00:06.567,100,0,8,10084,160,4,0.09877520388723937
2021-09-05 00:00:06.754,100,0,8,10393,164,4,0.10082786606039583
2021-09-05 00:00:06.807,100,0,8,10703,169,4,0.10142994985436214
2021-09-05 00:00:06.974,100,0,8,11075,175,4,0.10339201933022227
2021-09-05 00:00:07.047,100,0,8,11447,181,4,0.10427319849370666
2021-09-05 00:00:07.194,100,0,8,11583,185,4,0.10608201503299787
2021-09-05 00:00:07.286,100,0,8,11719,189,4,0.10722974509333445
2021-09-05 00:00:07.414,100,0,8,11369,191,4,0.1088397072938714
2021-09-05 00:00:07.526,100,0,8,11019,194,5,0.11027720496091918
2021-09-05 00:00:07.634,100,0,8,10841,199,5,0.11170153725758059
2021-09-05 00:00:07.766,100,0,8,10664,204,5,0.1134817503886887
2021-09-05 00:00:07.854,100,0,8,10870,207,5,0.11468423128079823
2021-09-05 00:00:08.006,100,0,8,11076,211,5,0.11679625570858754
2021-09-05 00:00:08.074,100,0,8,11287,215,5,0.11775882533303116
2021-09-05 00:00:08.246,100,0,8,11499,219,5,0.12023642947663422
2021-09-05 00:00:08.294,100,0,8,11618,222,5,0.12093605246864722
2021-09-05 00:00:08.486,100,0,8,11737,225,5,0.12377085458079176
2021-09-05 00:00:08.514,100,0,8,11725,228,5,0.12418960602951874
2021-09-05 00:00:08.726,100,0,8,11713,231,5,0.12739953102106016
2021-09-05 00:00:08.734,100,0,8,11366,232,5,0.12752165396620127
2021-09-05 00:00:08.954,100,0,8,11019,233,5,0.13090506854998582
2021-09-05 00:00:08.966,100,0,8,10673,235,6,0.1310910416854025
2021-09-05 00:00:09.174,100,0,8,10806,237,6,0.13434017680620708
2021-09-05 00:00:09.206,100,0,8,10940,239,6,0.13484538657381875
2021-09-05 00:00:09.394,100,0,8,11054,241,6,0.13784323166004317
2021-09-05 00:00:09.446,100,0,8,11169,244,6,0.13867827424232734
2021-09-05 00:00:09.614,100,0,8,11199,245,6,0.14138871930200542
2021-09-05 00:00:09.686,100,0,8,11230,247,6,0.1425582875788914
2021-09-05 00:00:09.834,100,0,8,11275,248,6,0.1449785676361981
2021-09-05 00:00:09.887,100,0,8,11320,250,6,0.14584726649526025
2021-09-05 00:00:10.054,50,50,8,11295,249,6,0.14857881501020487
2021-09-05 00:00:10.127,0,100,8,11271,248,6,0.14974298838784278
2021-09-05 00:00:10.274,0,100,8,10780,240,6,0.15200199080467702
2021-09-05 00:00:10.367,0,100,8,10290,232,6,0.1533873733841297
2021-09-05 00:00:10.494,0,100,8,10393,226,6,0.15523794433848356
2021-09-05 00:00:10.607,0,100,8,10496,220,6,0.15684325570819482
2021-09-05 00:00:10.714,9,50,8,10473,214,6,0.15832658008285289
2021-09-05 00:00:10.847,18,0,8,10451,209,5,0.16012634391605673
2021-09-05 00:00:10.915,32,0,8,10532,205,5,0.1610306776403999
2021-09-05 00:00:11.087,46,0,8,10613,201,5,0.16328376367577083
2021-09-05 00:00:11.135,49,0,8,10518,200,5,0.16390942996757216
2021-09-05 00:00:11.327,53,0,8,10424,199,5,0.1664097663234479
2021-09-05 00:00:11.355,69,0,8,10680,200,5,0.1667760513433748
2021-09-05 00:00:11.567,86,0,8,10937,201,5,0.16956718608316199
2021-09-05 00:00:11.574,87,0,8,10958,202,5,0.16965991393107221
2021-09-05 00:00:11.794,89,0,8,10980,203,5,0.1726089170333123
2021-09-05 00:00:11.807,91,0,8,11002,205,5,0.17278744006694996
2021-09-05 00:00:12.014,95,50,8,11002,209,5,0.17568020580339655
2021-09-05 00:00:12.047,100,100,8,11002,213,5,0.17613336249888578
2021-09-05 00:00:12.234,50,100,8,10652,206,5,0.17860895550112324
2021-09-05 00:00:12.287,0,100,8,10302,200,5,0.1792750737025814
2021-09-05 00:00:12.454,0,100,8,10409,190,5,0.18126448746855908
2021-09-05 00:00:12.527,0,100,8,10516,180,4,0.18210261378590742
2021-09-05 00:00:12.674,0,100,8,10796,175,4,0.18375639196879925
2021-09-05 00:00:12.767,0,100,8,11076,171,4,0.18478877686506714
2021-09-05 00:00:12.894,0,100,8,11312,168,4,0.18618966380365365
2021-09-05 00:00:13.007,0,100,8,11548,166,3,0.1873963971641345
2021-09-05 00:00:13.114,0,100,8,11133,159,3,0.18848033851588614
2021-09-05 00:00:13.247,1,100,8,10719,152,3,0.18978409767894316
2021-09-05 00:00:13.334,1,100,8,10520,150,3,0.1906368183781849
2021-09-05 00:00:13.487,1,100,8,10321,148,3,0.1921089639696779
2021-09-05 00:00:13.554,6,100,8,10025,142,3,0.1927262286245291
2021-09-05 00:00:13.767,12,100,8,9730,136,3,0.19460138819127637
2021-09-05 00:00:13.774,22,66,8,9763,134,3,0.19466195962947136
2021-09-05 00:00:13.994,33,33,8,9797,133,3,0.19656040105496717
2021-09-05 00:00:14.006,44,0,8,9831,132,3,0.19666627787990532
2021-09-05 00:00:14.214,58,0,8,10172,135,3,0.19855393200805496
2021-09-05 00:00:14.246,73,0,8,10513,139,3,0.19884976716647373
2021-09-05 00:00:14.434,77,0,8,10759,141,3,0.20061133540934076
2021-09-05 00:00:14.486,82,0,8,11005,144,3,0.20111179923313457
2021-09-05 00:00:14.654,91,0,8,10532,148,3,0.20277801230114495
2021-09-05 00:00:14.726,100,0,8,10059,153,3,0.20351520830396172
2021-09-05 00:00:14.874,100,0,8,10205,157,3,0.20507344383063314
2021-09-05 00:00:14.966,100,0,8,10351,162,4,0.20605999437895514
2021-09-05 00:00:15.094,94,0,8,10391,164,4,0.20744537924040773
2021-09-05 00:00:15.206,89,0,8,10431,167,4,0.20868332323404096
2021-09-05 00:00:15.314,94,0,8,10793,171,4,0.20991039119052896
2021-09-05 00:00:15.446,100,0,8,11156,175,4,0.21143232053727462
2021-09-05 00:00:15.534,100,0,8,11337,176,4,0.21244431238678696
2021-09-05 00:00:15.686,100,0,8,11519,177,4,0.2142127349525452
2021-09-05 00:00:15.754,100,0,8,10679,181,4,0.21502757554458582
2021-09-05 00:00:15.926,100,0,8,9839,186,4,0.21713452637198208
2021-09-05 00:00:15.974,100,0,8,9504,187,4,0.2177249920600025
2021-09-05 00:00:16.194,100,0,8,9169,188,4,0.22044806137066353
2021-09-05 00:00:16.206,100,0,8,8835,189,6,0.22059826297405646
2021-09-05 00:00:16.407,100,0,8,9133,194,6,0.2231505106131587
2021-09-05 00:00:16.414,100,0,8,9223,196,6,0.2232411299692646
2021-09-05 00:00:16.634,100,0,8,9314,199,6,0.226149205423961
2021-09-05 00:00:16.647,100,0,8,9405,202,6,0.22632363892889126
2021-09-05 00:00:16.854,100,0,8,9489,205,6,0.22913528074616343
2021-09-05 00:00:16.887,100,0,8,9574,208,6,0.22959101858073466
2021-09-05 00:00:17.074,100,0,8,9720,211,6,0.23221491992107401
2021-09-05 00:00:17.127,100,0,8,9867,215,6,0.23296835812470745
2021-09-05 00:00:17.294,100,0,8,9976,217,6,0.23536557967351446
2021-09-05 00:00:17.367,100,0,8,10085,220,6,0.23642424044877258
2021-09-05 00:00:17.495,100,0,8,10268,222,6,0.2382960690992002
2021-09-05 00:00:17.647,100,0,8,10452,225,6,0.2405477364036231
2021-09-05 00:00:17.715,100,0,8,10503,228,6,0.24156649018570242
2021-09-05 00:00:17.887,100,0,8,10554,231,6,0.24417641284389147
2021-09-05 00:00:17.935,100,0,8,10702,234,6,0.2449138513683754
2021-09-05 00:00:18.127,100,0,8,10850,237,6,0.24789934062027077
2021-09-05 00:00:18.154,100,0,8,10944,239,6,0.24832276922438656
2021-09-05 00:00:18.367,100,0,8,11038,241,6,0.25168510262072397
2021-09-05 00:00:18.374,100,0,8,11122,241,6,0.2517958421527562
2021-09-05 00:00:18.594,100,0,8,11206,242,6,0.2552928086983743
2021-09-05 00:00:18.607,100,0,8,11290,243,6,0.25550228173321415
2021-09-05 00:00:18.814,100,0,8,11352,246,6,0.25888588944326585
2021-09-05 00:00:18.847,100,0,8,11414,250,6,0.2594294207378336
2021-09-05 00:00:19.034,100,0,8,11476,251,6,0.26252086180283696
2021-09-05 00:00:19.087,100,0,8,11539,253,6,0.2634036854105085
2021-09-05 00:00:19.254,100,0,8,11636,255,6,0.266208539974039
2021-09-05 00:00:19.327,100,0,8,11733,257,6,0.2674407843072574
2021-09-05 00:00:19.474,100,0,8,11141,258,6,0.2699281541581712
2021-09-05 00:00:19.567,100,0,8,10549,259,6,0.27150930031604315
2021-09-05 00:00:19.694,100,0,8,10551,260,6,0.2736808850973456
2021-09-05 00:00:19.807,100,0,8,10554,262,7,0.2756249419928844
2021-09-05 00:00:19.914,100,0,8,10628,263,7,0.2774759193937951
2021-09-05 00:00:20.047,100,0,8,10703,265,7,0.279787709337781
2021-09-05 00:00:20.134,100,0,8,10739,266,7,0.28130457332426434
2021-09-05 00:00:20.287,100,0,8,10775,267,7,0.28398189379471467
2021-09-05 00:00:20.354,100,0,8,10839,268,7,0.285158713762456
2021-09-05 00:00:20.526,100,0,8,10904,269,7,0.2881898886904812
2021-09-05 00:00:20.574,100,0,8,10893,269,7,0.2890374076487808
2021-09-05 00:00:20.766,100,0,8,10883,270,7,0.29243119881547025
2021-09-05 00:00:20.794,100,0,8,10934,270,7,0.2929259536204962
2021-09-05 00:00:21.006,100,0,8,10985,270,7,0.29667250894045927
2021-09-05 00:00:21.014,100,0,8,10983,270,7,0.29681411611801123
2021-09-05 00:00:21.234,100,0,8,10981,270,7,0.30071630199506433
2021-09-05 00:00:21.246,100,0,8,10980,271,7,0.30092952762146685
2021-09-05 00:00:21.454,100,0,8,11008,271,7,0.30463151462287635
2021-09-05 00:00:21.486,100,0,8,11037,272,7,0.30520225485849284
2021-09-05 00:00:21.674,100,0,8,11010,272,7,0.30856134252931
2021-09-05 00:00:21.726,100,0,8,10984,273,7,0.30949069065153734
2021-09-05 00:00:21.894,100,0,8,11044,273,7,0.31249173983121736
2021-09-05 00:00:21.966,100,0,8,11105,273,7,0.3137791264445818
2021-09-05 00:00:22.114,100,0,8,11102,273,7,0.31643006861035267
2021-09-05 00:00:22.206,100,0,8,11100,274,7,0.3180832707936448
2021-09-05 00:00:22.334,100,0,8,11111,275,7,0.32039211812821444
2021-09-05 00:00:22.446,100,0,8,11122,276,7,0.32241883225474466
2021-09-05 00:00:22.554,100,0,8,11161,276,7,0.3243774204212376
2021-09-05 00:00:22.686,100,0,8,11200,277,7,0.32677010227186304
2021-09-05 00:00:22.774,100,0,8,11150,276,7,0.328359563304886
2021-09-05 00:00:22.926,100,0,8,11100,276,7,0.33110566373296296
2021-09-05 00:00:22.994,100,0,8,11153,277,7,0.3323412731586391
2021-09-05 00:00:23.127,100,0,8,11206,278,7,0.3347630082879651
2021-09-05 00:00:23.214,100,0,8,11203,277,7,0.33634152982088156
2021-09-05 00:00:23.367,100,0,8,11201,277,7,0.3391142783050835
2021-09-05 00:00:23.434,100,0,8,11229,277,7,0.3403322201912865
2021-09-05 00:00:23.607,100,0,8,11258,278,7,0.3434812568782204
2021-09-05 00:00:23.654,100,0,8,11209,277,7,0.3443348451499909
2021-09-05 00:00:23.847,100,0,8,11160,277,7,0.3478325268953388
2021-09-05 00:00:23.874,100,0,8,11193,277,7,0.3483215315073358
2021-09-05 00:00:24.075,100,0,8,11226,277,7,0.3519654766651441
2021-09-05 00:00:24.087,100,0,8,11260,277,7,0.35218379691245716
2021-09-05 00:00:24.295,100,0,8,11262,278,7,0.35598180346860225
2021-09-05 00:00:24.327,100,0,8,11264,279,7,0.3565664840416125
2021-09-05 00:00:24.515,100,0,8,11243,279,7,0.3599989260335144
